timestamp,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawLeft,jawRight,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthLeft,mouthRight,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,custom_52,custom_53,custom_54,custom_55,custom_56,custom_57,custom_58,custom_59,custom_60,custom_61,custom_62,custom_63,custom_64,custom_65,custom_66,custom_67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016667,0.0,0.0,0.0,0.0,0.0,0.00122,0.073244,0.0,0.0,0.0,0.0,0.0,0.001244,0.073319,0.007652,3.5e-05,0.010249,0.032235,0.001431,0.039337,0.002103,7e-06,0.00011,0.013965,0.016713,0.000168,0.0,0.007614,0.007295,0.022585,0.024902,0.0,0.001409,0.0,0.00134,0.000103,0.000393,0.066529,0.069283,0.019747,0.021937,0.002508,0.002374,0.012757,0.015645,0.015611,0.0,0.007034,0.009591,0.006511,0.011272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224507,0.099058,0.724053,0.126125,0.97033,0.830987,1.0
0.033333,0.0,0.0,0.0,0.0,0.0,0.002425,0.145516,0.0,0.0,0.0,0.0,0.0,0.002473,0.145668,0.014589,7.1e-05,0.020254,0.061992,0.003145,0.078384,0.004499,1.2e-05,0.000222,0.029478,0.034862,0.000337,0.0,0.014764,0.014171,0.043801,0.048559,0.0,0.002759,0.0,0.002967,0.000224,0.000806,0.130707,0.136257,0.038793,0.043099,0.005225,0.004959,0.024109,0.029702,0.029635,0.0,0.014281,0.019491,0.013454,0.023131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453267,0.198905,1.0,0.242004,1.0,1.0,1.0
0.05,0.0,0.0,0.0,0.0,0.0,0.003611,0.21767,0.0,0.0,0.0,0.0,0.0,0.003686,0.217897,0.021353,0.000102,0.030254,0.091753,0.005173,0.11703,0.0065,2.5e-05,0.000345,0.046357,0.054155,0.000501,0.0,0.021716,0.020863,0.065104,0.072301,0.0,0.004045,0.0,0.004747,0.00037,0.001235,0.196959,0.205331,0.057423,0.063811,0.008665,0.008268,0.034873,0.043022,0.042922,0.0,0.021846,0.029844,0.021227,0.035828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686957,0.301081,1.0,0.344043,1.0,1.0,1.0
0.066667,0.0,0.0,0.0,0.0,0.0,0.005073,0.289166,0.0,0.0,0.0,0.0,0.0,0.00517,0.289465,0.02796,0.000133,0.040188,0.122296,0.007181,0.156051,0.007454,3.8e-05,0.000462,0.063871,0.074015,0.00066,0.0,0.028639,0.027522,0.086735,0.096277,0.0,0.005277,0.0,0.00657,0.000528,0.001686,0.266003,0.277149,0.076466,0.084924,0.013144,0.012611,0.045217,0.056057,0.055924,0.0,0.029644,0.040392,0.029179,0.048547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915195,0.402049,1.0,0.458916,1.0,1.0,1.0
0.083333,0.0,0.0,0.0,0.0,0.0,0.006457,0.360596,0.0,0.0,0.0,0.0,0.0,0.006579,0.360979,0.035236,0.000171,0.050423,0.157662,0.009404,0.195886,0.007854,2.7e-05,0.000626,0.081111,0.093802,0.000834,0.0,0.035752,0.034347,0.110005,0.121877,0.0,0.006565,0.0,0.008488,0.000685,0.002129,0.342225,0.356337,0.096533,0.107205,0.018111,0.017432,0.056122,0.069755,0.06958,0.0,0.037536,0.051076,0.037597,0.062009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.507003,1.0,0.589611,1.0,1.0,1.0
0.1,0.0,0.0,0.0,0.0,0.0,0.006533,0.361042,0.0,0.0,0.0,0.0,0.0,0.006652,0.361413,0.035262,0.00017,0.050594,0.163781,0.010183,0.196561,0.006854,6.7e-05,0.000598,0.081402,0.093917,0.000882,0.0,0.035931,0.03452,0.112462,0.123885,0.0,0.006562,0.0,0.008267,0.000703,0.002138,0.353517,0.367393,0.096317,0.106905,0.020449,0.019775,0.056175,0.070906,0.07073,0.0,0.037842,0.051435,0.037918,0.061883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.508384,1.0,0.590358,1.0,1.0,1.0
0.116667,0.0,0.0,0.0,0.0,0.0,0.006462,0.361215,0.0,0.0,0.0,0.0,0.0,0.006585,0.361595,0.036435,0.000178,0.050767,0.172856,0.010128,0.195437,0.003623,4.1e-05,0.000677,0.081968,0.094834,0.000845,0.0,0.036278,0.034824,0.114897,0.125727,0.0,0.006643,0.0,0.007974,0.00071,0.002142,0.368877,0.382732,0.098404,0.1093,0.023342,0.022666,0.057125,0.073349,0.073166,0.0,0.038158,0.051794,0.038234,0.062467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.509199,1.0,0.59307,1.0,1.0,1.0
0.133333,0.0,0.0,0.0,0.0,0.0,0.006376,0.363684,0.0,0.0,0.0,0.0,0.0,0.006495,0.364074,0.037446,0.000182,0.051032,0.186279,0.010928,0.196776,0.002825,6.8e-05,0.000692,0.080545,0.093693,0.000869,0.0,0.037052,0.035519,0.118812,0.12921,0.0,0.006765,0.0,0.007479,0.00071,0.002111,0.38556,0.399179,0.099097,0.110056,0.025791,0.025103,0.059332,0.077328,0.077141,0.0,0.038394,0.052014,0.037546,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.509985,1.0,0.596718,1.0,1.0,1.0
0.15,0.0,0.0,0.0,0.0,0.0,0.006531,0.367407,0.0,0.0,0.0,0.0,0.0,0.006651,0.367821,0.039352,0.000177,0.05145,0.200221,0.010856,0.197712,0.002188,7.5e-05,0.000698,0.079195,0.092593,0.000796,0.0,0.038061,0.036387,0.122856,0.13263,0.0,0.006938,0.0,0.006649,0.000693,0.002089,0.404812,0.417977,0.102071,0.11336,0.027537,0.026837,0.06273,0.083058,0.082864,0.0,0.038653,0.052096,0.036419,0.060323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.516739,1.0,0.594447,1.0,1.0,1.0
